building_code,room_number,start_time,end_time,SUN,MON,TUE,WED,THR,FRI,SAT,start_date,end_date
STUCTR,107,1300,1600,0,1,1,1,1,1,0,01/11/16,04/29/16
STUCTR,107,900,1200,0,1,1,1,1,1,0,01/11/16,04/29/16
RAHALL,128,1400,1450,0,0,0,0,1,0,0,01/11/16,04/29/16
ADMIN,308,1530,1645,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,308,1530,1645,0,0,1,0,1,0,0,01/11/16,04/29/16
RAHALL,304,1300,1350,0,1,0,0,0,0,0,01/11/16,04/29/16
RAHALL,315A,1400,1450,0,0,0,0,1,0,0,01/11/16,04/29/16
ADMIN,304,1200,1250,0,1,0,1,0,1,0,01/11/16,04/29/16
RAHALL,318,1430,1545,0,1,0,1,0,0,0,01/11/16,04/29/16
RAHALL,318,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
RAHALL,315B,1100,1215,0,1,0,1,0,0,0,01/11/16,04/29/16
RAHALL,315B,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
RAHALL,315B,1300,1415,0,1,0,1,0,0,0,01/11/16,04/29/16
RAHALL,311,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
RAHALL,303,800,915,0,0,1,0,1,0,0,01/11/16,04/29/16
RAHALL,311,830,945,0,1,0,1,0,0,0,01/11/16,04/29/16
RAHALL,303,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
RAHALL,315A,1700,1930,0,0,0,0,1,0,0,01/11/16,04/29/16
RAHALL,303,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
RAHALL,303,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
RAHALL,318,1800,2030,0,0,0,0,1,0,0,01/11/16,04/29/16
RAHALL,311,1800,2030,0,0,0,1,0,0,0,01/11/16,04/29/16
RAHALL,318,1100,1215,0,1,0,0,0,1,0,01/11/16,04/29/16
BECKLY,HEC,1300,1530,0,0,0,0,1,0,0,01/11/16,04/29/16
RAHALL,318,1300,1415,0,1,0,1,0,0,0,01/11/16,04/29/16
RAHALL,315B,830,945,0,1,0,1,0,0,0,01/11/16,04/29/16
BECKLY,HEC,1730,1845,0,0,1,0,1,0,0,01/11/16,04/29/16
RAHALL,315A,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
RAHALL,103,1300,1530,0,0,0,1,0,0,0,01/11/16,04/29/16
RAHALL,103,1230,1500,0,0,1,0,0,0,0,01/11/16,04/29/16
RAHALL,311,1430,1545,0,1,0,1,0,0,0,01/11/16,04/29/16
RAHALL,315A,1300,1415,0,1,0,1,0,0,0,01/11/16,04/29/16
RAHALL,318,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
BECKLY,HEC,1600,1830,0,1,0,0,0,0,0,01/11/16,04/29/16
RAHALL,315A,1430,1545,0,1,0,1,0,0,0,01/11/16,04/29/16
RAHALL,103,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
BECKLY,HEC,1600,1830,0,0,0,1,0,0,0,01/11/16,04/29/16
ADMIN,100,1400,1630,0,0,1,0,0,0,0,01/11/16,04/29/16
BECKLY,HEC,1600,1830,0,1,0,0,0,0,0,01/11/16,04/29/16
RAHALL,318,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
BECKLY,HEC,1600,1830,0,0,0,1,0,0,0,01/11/16,04/29/16
ADMIN,321,1700,1930,0,0,0,1,0,0,0,01/11/16,04/29/16
RAHALL,303,1700,1930,0,1,0,0,0,0,0,01/11/16,04/29/16
RAHALL,303,1300,1530,0,1,0,0,0,0,0,01/11/16,04/29/16
ADMIN,100,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,136,1700,1930,0,1,0,0,0,0,0,01/11/16,04/29/16
ADMIN,100,800,915,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,100,1100,1150,0,1,0,1,0,0,0,01/11/16,04/29/16
